timestamp,event,key,scan_code,details
2026-02-25 23:28:50.621688,mouse_move,,,x=1450;y=1450
2026-02-25 23:28:52.626508,down,left ctrl,-162,keyboard_hook
2026-02-25 23:28:53.226683,mouse_scroll,,,amount=100;zoom_in_iter=1
2026-02-25 23:28:53.429993,mouse_scroll,,,amount=100;zoom_in_iter=2
2026-02-25 23:28:53.631614,mouse_scroll,,,amount=100;zoom_in_iter=3
2026-02-25 23:28:53.836387,mouse_scroll,,,amount=100;zoom_in_iter=4
2026-02-25 23:28:54.038958,mouse_scroll,,,amount=100;zoom_in_iter=5
2026-02-25 23:28:54.142437,up,left ctrl,-162,keyboard_hook
2026-02-25 23:28:55.144569,down,left ctrl,-162,keyboard_hook
2026-02-25 23:28:55.747065,mouse_scroll,,,amount=-50;zoom_out_iter=1
2026-02-25 23:28:55.949392,mouse_scroll,,,amount=-50;zoom_out_iter=2
2026-02-25 23:28:56.156730,mouse_scroll,,,amount=-50;zoom_out_iter=3
2026-02-25 23:28:56.365002,mouse_scroll,,,amount=-50;zoom_out_iter=4
2026-02-25 23:28:56.567367,mouse_scroll,,,amount=-50;zoom_out_iter=5
2026-02-25 23:28:56.668839,up,left ctrl,-162,keyboard_hook
2026-02-25 23:29:06.199025,down,q,16,keyboard_hook
